# λ	f(λ)
-55.4269802933062	-28.9599713476849
-55.4169802933062	-28.9319549418795
-55.4069802933062	-28.9039225377651
-55.3969802933062	-28.8758741129689
-55.3869802933062	-28.8478096450757
-55.3769802933062	-28.8197291116275
-55.3669802933062	-28.7916324901238
-55.3569802933062	-28.763519758021
-55.3469802933062	-28.735390892733
-55.3369802933062	-28.7072458716303
-55.3269802933062	-28.6790846720405
-55.3169802933062	-28.650907271248
-55.3069802933062	-28.6227136464938
-55.2969802933062	-28.5945037749753
-55.2869802933062	-28.5662776338468
-55.2769802933062	-28.5380352002186
-55.2669802933062	-28.5097764511573
-55.2569802933062	-28.4815013636859
-55.2469802933062	-28.4532099147832
-55.2369802933062	-28.424902081384
-55.2269802933062	-28.3965778403791
-55.2169802933062	-28.3682371686146
-55.2069802933062	-28.3398800428928
-55.1969802933062	-28.3115064399711
-55.1869802933062	-28.2831163365625
-55.1769802933062	-28.2547097093352
-55.1669802933062	-28.2262865349127
-55.1569802933062	-28.1978467898734
-55.1469802933062	-28.1693904507509
-55.1369802933062	-28.1409174940335
-55.1269802933062	-28.1124278961644
-55.1169802933062	-28.0839216335413
-55.1069802933062	-28.0553986825165
-55.0969802933062	-28.0268590193969
-55.0869802933062	-27.9983026204434
-55.0769802933062	-27.9697294618712
-55.0669802933062	-27.9411395198499
-55.0569802933062	-27.9125327705027
-55.0469802933062	-27.8839091899067
-55.0369802933062	-27.8552687540931
-55.0269802933062	-27.8266114390465
-55.0169802933062	-27.7979372207049
-55.0069802933062	-27.76924607496
-54.9969802933063	-27.7405379776567
-54.9869802933063	-27.711812904593
-54.9769802933063	-27.6830708315202
-54.9669802933063	-27.6543117341422
-54.9569802933063	-27.6255355881162
-54.9469802933063	-27.5967423690519
-54.9369802933063	-27.5679320525115
-54.9269802933063	-27.53910461401
-54.9169802933063	-27.5102600290145
-54.9069802933063	-27.4813982729445
-54.8969802933063	-27.4525193211718
-54.8869802933063	-27.42362314902
-54.8769802933063	-27.3947097317647
-54.8669802933063	-27.3657790446333
-54.8569802933063	-27.3368310628049
-54.8469802933063	-27.3078657614102
-54.8369802933063	-27.2788831155313
-54.8269802933063	-27.2498831002017
-54.8169802933063	-27.2208656904059
-54.8069802933063	-27.1918308610797
-54.7969802933063	-27.1627785871098
-54.7869802933063	-27.1337088433338
-54.7769802933063	-27.1046216045399
-54.7669802933063	-27.0755168454669
-54.7569802933063	-27.0463945408043
-54.7469802933063	-27.0172546651917
-54.7369802933063	-26.988097193219
-54.7269802933063	-26.9589220994264
-54.7169802933063	-26.929729358304
-54.7069802933063	-26.9005189442915
-54.6969802933063	-26.8712908317787
-54.6869802933063	-26.8420449951048
-54.6769802933063	-26.8127814085586
-54.6669802933063	-26.7835000463784
-54.6569802933063	-26.7542008827513
-54.6469802933063	-26.724883891814
-54.6369802933063	-26.6955490476519
-54.6269802933063	-26.6661963242995
-54.6169802933063	-26.6368256957397
-54.6069802933063	-26.6074371359042
-54.5969802933063	-26.5780306186734
-54.5869802933063	-26.5486061178757
-54.5769802933063	-26.5191636072878
-54.5669802933063	-26.4897030606347
-54.5569802933063	-26.4602244515891
-54.5469802933063	-26.4307277537718
-54.5369802933063	-26.401212940751
-54.5269802933063	-26.3716799860428
-54.5169802933063	-26.3421288631106
-54.5069802933063	-26.312559545365
-54.4969802933064	-26.2829720061639
-54.4869802933064	-26.2533662188123
-54.4769802933064	-26.2237421565621
-54.4669802933064	-26.1940997926119
-54.4569802933064	-26.164439100107
-54.4469802933064	-26.1347600521392
